Global_Efficiency:0.2840
Chord(m),PitchLE(deg)
3.920487489317199536e-02,3.462387332843999843e+01
3.969272063883678980e-02,3.615742769557534331e+01
4.051543628509640671e-02,3.665840823658440684e+01
4.136941721763873203e-02,3.662600319485653699e+01
4.193934120422601608e-02,3.635868964023939043e+01
4.189816839469484577e-02,3.595423346903896800e+01
4.090714132095615851e-02,3.530968940401952239e+01
3.861578489699521444e-02,3.412140099440365049e+01
3.466190641887167273e-02,3.188500061587226853e+01
2.702530000738207622e-02,2.668355452311080001e+01
